id,happiness,happy_num,labor,hours,marital,ballot
2255,Very happy,3,Working fulltime,30,Never married,Ballot b
2258,Pretty happy,2,Working parttime,12,Divorced,Ballot a
2259,Very happy,3,Working fulltime,40,Married,Ballot c
2263,Pretty happy,2,Working fulltime,40,Married,Ballot b
2264,Not too happy,1,Working fulltime,89,Separated,Ballot c
2265,Very happy,3,Working fulltime,70,Married,Ballot a
2268,Very happy,3,Working fulltime,40,Married,Ballot a
2272,Pretty happy,2,Working fulltime,40,Married,Ballot a
2274,Pretty happy,2,Working fulltime,48,Married,Ballot a
2275,Pretty happy,2,Working fulltime,40,Married,Ballot c
2276,Pretty happy,2,Working fulltime,40,Separated,Ballot b
2277,Pretty happy,2,Working fulltime,50,Divorced,Ballot a
2278,Pretty happy,2,Working fulltime,40,Married,Ballot b
2280,Not too happy,1,Working fulltime,38,Widowed,Ballot c
2281,Pretty happy,2,Working fulltime,46,Separated,Ballot a
2282,Not too happy,1,Working parttime,30,Widowed,Ballot b
2284,Pretty happy,2,Working fulltime,40,Married,Ballot c
2287,Pretty happy,2,Working parttime,25,Married,Ballot a
2288,Pretty happy,2,Working parttime,34,Never married,Ballot c
2290,Pretty happy,2,Working fulltime,80,Married,Ballot c
2292,Very happy,3,Working fulltime,70,Never married,Ballot c
2293,Not too happy,1,Working fulltime,48,Divorced,Ballot c
2295,Very happy,3,Working fulltime,38,Never married,Ballot c
2296,Pretty happy,2,Working fulltime,40,Married,Ballot c
2301,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2303,Pretty happy,2,Working fulltime,40,Married,Ballot b
2305,Very happy,3,Working fulltime,40,Married,Ballot c
2306,Pretty happy,2,Working fulltime,47,Never married,Ballot b
2307,Very happy,3,Working fulltime,40,Married,Ballot a
2308,Pretty happy,2,Working fulltime,38,Never married,Ballot a
2309,Not too happy,1,Working parttime,8,Married,Ballot c
2310,Very happy,3,Working fulltime,37,Married,Ballot c
2317,Very happy,3,Working fulltime,41,Married,Ballot a
2318,Very happy,3,Working fulltime,40,Never married,Ballot c
2319,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
